Imone Darb_sk Pajamos Islaidos
1 5 0.19 0.6
2 6 0.16 4.8
3 30 0.28 6
4 39 0.46 0.2
5 46 1 3.2
6 47 0.62 3
7 50 0.55 0.6
8 51 1.06 1.6
9 52 0.66 2.2
10 54 1.04 2.7
11 55 0.8 2.4
12 56 2.18 7.1
13 60 0.4 0.1
14 60 1.88 2.5
15 60 0.7 1
16 61 0.58 1
17 62 0.71 3.5
18 64 0.53 0.1
19 65 0.57 45.3
20 66 0.58 0.6
21 67 0.76 0.9
22 69 1.34 5
23 69 0.76 5.7
24 70 1.24 1.7
25 71 0.85 0.3
26 73 1.38 1
27 76 0.8 1
28 78 1.08 0.8
29 79 0.91 2.5
30 83 0.75 1.2
31 86 2.48 3
32 93 1.18 1.2
33 95 1.91 4
34 96 0.51 1.2
35 99 0.9 1
36 101 1.2 1
37 102 2.23 2.2
38 112 1.27 1.3
39 112 0.99 0.7
40 116 1.86 0.5
41 116 0.18 2.5
42 116 1.27 0.9
43 120 1.69 0.2
44 122 6.04 28.7
45 128 7.57 6
46 128 2.67 6.1
47 138 3.08 8.1
48 140 1.92 4.9
49 141 3.22 3.2
50 149 2.18 2.8
51 154 2.13 2
52 154 5.37 3
53 167 1.55 3.1
54 170 2.21 2
55 174 3.53 6.1
56 177 2.97 18
57 182 7.2 10.9
58 182 2.73 1.4
59 183 2.84 8
60 186 7.07 5.5
61 186 3.44 6.8
62 191 2.18 6.6
63 200 5.49 2.1
64 200 5.42 2.6
65 206 1.77 3.4
66 217 3.43 5.1
67 220 6.4 1
68 229 2.87 4.2
69 245 3.03 4.6
70 249 3.97 3
71 253 3.01 1.3
72 259 6.65 12.4
73 277 2.21 6.5
74 294 8.36 20.8
75 298 3.45 17.1
76 300 5.04 26
77 302 6.34 13
78 303 5.23 11
79 310 8.15 19.8
80 347 6.57 28.2
81 350 5.81 24
82 480 5.97 24.4
83 518 5.58 9
84 599 8.99 19.7
